unicef_id;admin1_area_id;admin2_area_id;admin3_area_id;
HH-23-0230.3547;UA63;UA6304;UA6304009;
HH-23-0230.3548;UA63;UA6304;UA6304009;
HH-23-0230.3549;UA63;UA6304;UA6304009;
HH-23-0230.3550;UA63;UA6304;UA6304009;
HH-23-0230.3551;UA63;UA6304;UA6304009;
HH-23-0230.3552;UA63;UA6304;UA6304009;
HH-23-0230.3553;UA63;UA6304;UA6304009;
HH-23-0230.3554;UA63;UA6304;UA6304009;
HH-23-0230.3555;UA63;UA6304;UA6304009;
HH-23-0230.3556;UA63;UA6304;UA6304009;
HH-23-0230.3557;UA63;UA6304;UA6304009;
HH-23-0230.3558;UA63;UA6304;UA6304009;
HH-23-0230.3559;UA63;UA6304;UA6304009;
HH-23-0230.3560;UA63;UA6304;UA6304009;
HH-23-0230.3561;UA63;UA6304;UA6304009;
HH-23-0230.3562;UA63;UA6304;UA6304009;
HH-23-0230.3563;UA63;UA6304;UA6304009;
HH-23-0230.3564;UA63;UA6304;UA6304009;
HH-23-0230.3565;UA63;UA6304;UA6304009;
HH-23-0230.3566;UA63;UA6304;UA6304009;
HH-23-0230.3567;UA63;UA6304;UA6304009;
HH-23-0230.3568;UA63;UA6304;UA6304009;
HH-23-0230.3569;UA63;UA6304;UA6304009;
HH-23-0230.3570;UA63;UA6304;UA6304009;
HH-23-0230.3571;UA63;UA6304;UA6304009;
HH-23-0230.3572;UA63;UA6304;UA6304009;
HH-23-0230.3573;UA63;UA6304;UA6304009;
HH-23-0230.3574;UA63;UA6304;UA6304009;
HH-23-0230.3575;UA63;UA6304;UA6304009;
HH-23-0230.3576;UA63;UA6304;UA6304009;
HH-23-0230.3577;UA63;UA6304;UA6304009;
HH-23-0230.3578;UA63;UA6304;UA6304009;
HH-23-0230.3579;UA63;UA6304;UA6304009;
HH-23-0230.3580;UA63;UA6304;UA6304009;
HH-23-0230.3581;UA63;UA6304;UA6304009;
HH-23-0230.3582;UA63;UA6304;UA6304009;
HH-23-0230.3583;UA63;UA6304;UA6304009;
HH-23-0230.3584;UA63;UA6304;UA6304009;
HH-23-0230.3585;UA63;UA6304;UA6304009;
HH-23-0230.3586;UA63;UA6304;UA6304009;
HH-23-0230.3587;UA63;UA6304;UA6304009;
HH-23-0230.3588;UA63;UA6304;UA6304009;
HH-23-0230.3589;UA63;UA6304;UA6304009;
HH-23-0230.3590;UA63;UA6304;UA6304009;
HH-23-0230.3591;UA63;UA6304;UA6304009;
HH-23-0230.3592;UA63;UA6304;UA6304009;
HH-23-0230.3593;UA63;UA6304;UA6304009;
HH-23-0230.3594;UA63;UA6304;UA6304009;
HH-23-0230.3595;UA63;UA6304;UA6304009;
HH-23-0230.3596;UA63;UA6304;UA6304009;
HH-23-0230.3597;UA63;UA6304;UA6304009;
HH-23-0230.3598;UA63;UA6304;UA6304009;
HH-23-0230.3599;UA63;UA6304;UA6304009;
HH-23-0230.3600;UA63;UA6304;UA6304009;
HH-23-0230.3601;UA63;UA6304;UA6304009;
HH-23-0230.3602;UA63;UA6304;UA6304009;
HH-23-0230.3603;UA63;UA6304;UA6304009;
HH-23-0230.3604;UA63;UA6304;UA6304009;
HH-23-0230.3605;UA63;UA6304;UA6304009;
HH-23-0230.3606;UA63;UA6304;UA6304009;
HH-23-0230.3607;UA63;UA6304;UA6304009;
HH-23-0230.3608;UA63;UA6304;UA6304009;
HH-23-0230.3609;UA63;UA6304;UA6304009;
HH-23-0230.3610;UA63;UA6304;UA6304009;
HH-23-0230.3611;UA63;UA6304;UA6304009;
HH-23-0230.3612;UA63;UA6304;UA6304009;
HH-23-0230.3613;UA63;UA6304;UA6304009;
HH-23-0230.3614;UA63;UA6304;UA6304009;
HH-23-0230.3615;UA63;UA6304;UA6304009;
HH-23-0230.3616;UA63;UA6304;UA6304009;
HH-23-0230.3617;UA63;UA6304;UA6304009;
HH-23-0230.3618;UA63;UA6304;UA6304009;
HH-23-0230.3619;UA63;UA6304;UA6304009;
HH-23-0230.3620;UA63;UA6304;UA6304009;
HH-23-0230.3621;UA63;UA6304;UA6304009;
HH-23-0230.3622;UA63;UA6304;UA6304009;
HH-23-0230.3623;UA63;UA6304;UA6304009;
HH-23-0230.3624;UA63;UA6304;UA6304009;
HH-23-0230.3625;UA63;UA6304;UA6304009;
HH-23-0230.3626;UA63;UA6304;UA6304009;
HH-23-0230.3627;UA63;UA6304;UA6304009;
HH-23-0230.3628;UA63;UA6304;UA6304009;
HH-23-0230.3629;UA63;UA6304;UA6304009;
HH-23-0230.3630;UA63;UA6304;UA6304009;
HH-23-0230.3631;UA63;UA6304;UA6304009;
HH-23-0230.3632;UA63;UA6304;UA6304009;
HH-23-0230.3633;UA63;UA6304;UA6304009;
HH-23-0230.3634;UA63;UA6304;UA6304009;
HH-23-0230.3635;UA63;UA6304;UA6304009;
HH-23-0230.3636;UA63;UA6304;UA6304009;
HH-23-0230.3637;UA63;UA6304;UA6304009;
HH-23-0230.3638;UA63;UA6304;UA6304009;
HH-23-0230.3639;UA63;UA6304;UA6304009;
HH-23-0230.3640;UA63;UA6304;UA6304009;
HH-23-0230.3641;UA63;UA6304;UA6304009;
HH-23-0230.3642;UA63;UA6304;UA6304009;
HH-23-0230.3643;UA63;UA6304;UA6304009;
HH-23-0230.3644;UA63;UA6304;UA6304009;
HH-23-0230.3645;UA63;UA6304;UA6304009;
HH-23-0230.3646;UA63;UA6304;UA6304009;
HH-23-0230.3647;UA63;UA6304;UA6304009;
HH-23-0230.3648;UA63;UA6304;UA6304009;
HH-23-0230.3649;UA63;UA6304;UA6304009;
HH-23-0230.3650;UA63;UA6304;UA6304009;
HH-23-0230.3651;UA63;UA6304;UA6304009;
HH-23-0230.3652;UA63;UA6304;UA6304009;
HH-23-0230.3653;UA63;UA6304;UA6304009;
HH-23-0230.3654;UA63;UA6304;UA6304009;
HH-23-0230.3655;UA63;UA6304;UA6304009;
HH-23-0230.3656;UA63;UA6304;UA6304009;
HH-23-0230.3657;UA63;UA6304;UA6304009;
HH-23-0230.3658;UA63;UA6304;UA6304009;
HH-23-0230.3659;UA63;UA6304;UA6304009;
HH-23-0230.3660;UA63;UA6304;UA6304009;
HH-23-0230.3661;UA63;UA6304;UA6304009;
HH-23-0230.3662;UA63;UA6304;UA6304009;
HH-23-0230.3663;UA63;UA6304;UA6304009;
HH-23-0230.3664;UA63;UA6304;UA6304009;
HH-23-0230.3665;UA63;UA6304;UA6304009;
HH-23-0230.3666;UA63;UA6304;UA6304009;
HH-23-0230.3667;UA63;UA6304;UA6304009;
HH-23-0230.3668;UA63;UA6304;UA6304009;
HH-23-0230.3669;UA63;UA6304;UA6304009;
HH-23-0230.3670;UA63;UA6304;UA6304009;
HH-23-0230.3671;UA63;UA6304;UA6304009;
HH-23-0230.3672;UA63;UA6304;UA6304009;
HH-23-0230.3673;UA63;UA6304;UA6304009;
HH-23-0230.3674;UA63;UA6304;UA6304009;
HH-23-0230.3675;UA63;UA6304;UA6304009;
HH-23-0230.3676;UA63;UA6304;UA6304009;
HH-23-0230.3677;UA63;UA6304;UA6304009;
HH-23-0230.3678;UA63;UA6304;UA6304009;
HH-23-0230.3679;UA63;UA6304;UA6304009;
HH-23-0230.3680;UA63;UA6304;UA6304009;
HH-23-0230.3681;UA63;UA6304;UA6304009;
HH-23-0230.3682;UA63;UA6304;UA6304009;
HH-23-0230.3683;UA63;UA6304;UA6304009;
HH-23-0230.3684;UA63;UA6304;UA6304009;
HH-23-0230.3685;UA63;UA6304;UA6304009;
HH-23-0230.3686;UA63;UA6304;UA6304009;
HH-23-0230.3687;UA63;UA6304;UA6304009;
HH-23-0230.3688;UA63;UA6304;UA6304009;
HH-23-0230.3689;UA63;UA6304;UA6304009;
HH-23-0230.3690;UA63;UA6304;UA6304009;
HH-23-0230.3691;UA63;UA6304;UA6304009;
HH-23-0230.3692;UA63;UA6304;UA6304009;
HH-23-0230.3693;UA63;UA6304;UA6304009;
HH-23-0230.3694;UA63;UA6304;UA6304009;
HH-23-0230.3695;UA63;UA6304;UA6304009;
HH-23-0230.3696;UA63;UA6304;UA6304009;
HH-23-0230.3697;UA63;UA6304;UA6304009;
HH-23-0230.3698;UA63;UA6304;UA6304009;
HH-23-0230.3699;UA63;UA6304;UA6304009;
HH-23-0230.3700;UA63;UA6304;UA6304009;
