RDI Name;Programme
Health and Nutrition - FLWS Modification;Health & Nutrition Reporting FLWS
Social Policy - MCCT+ FLWs - Reifi Atbara;Social Policy - MCCT+ FLWs
Social Policy - MCCT+ FLWs - Reifi Nahr Atbara;Social Policy - MCCT+ FLWs
Child Protection - KFW - FLWs;Child Protection - KFW - FLWs
Child Protection - KFW;Child Protection - KFW - FLWs
Health&Nutrition - Health FLWs;Health&Nutrition - Health FLWs
Social Policy - MCCT+ FLWs;Social Policy - MCCT+ FLWs
CP CFS Emergency 17 Social Workers FLWs;CP CFS Social workers
CP maygoma Incentives FLWs 2;CP CFS Social workers
H&N Gavi PMU Salaries 2 (SDG) RDI;Gavi Federal incentives
H&N Gavi PMU Salaries (SDG) RDI.;Gavi Federal incentives
H&N Gavi PMU Federal Incentives FLWs RDI;Gavi Federal incentives
MCCT FLWS BATCH 2 KSL & RSS except RA & PS(50%);Social Policy - MCCT+ FLWs
Child Protection - Incentives - Maygoma;CP CFS Social workers
Child Protection - Foster Mothers - Maygoma;CP CFS Social workers
Health&Nutrition - Reporting - FLWS - 18;Health & Nutrition Reporting FLWS
CP CFS Emergency part 2;CP CFS Social workers
H&N Reporting FLWS part 2;Health & Nutrition Reporting FLWS
H&N Gavi Vaccinators North Kordofan;Gavi Federal incentives
H&N Gavi Vaccinators Blue Nile;Gavi Federal incentives
H&N CERF KRT Revitalization FLWs;Health&Nutrition - Health FLWs
H&N Gavi PMU Salaries Additional Worker;Gavi Federal incentives
H&N Gavi Vaccinators West Kordofan;Gavi Federal incentives
H&N Gavi Vaccinators Gedaref;Gavi Federal incentives
H&N Gavi Vaccinators Gezira;Gavi Federal incentives
H&N Gavi Vaccinators Central Darfur;Gavi Federal incentives
H&N GAVI Locality EPI officers;Gavi Federal incentives
